  %   cumulative   self               self        total
 time   seconds   seconds     calls  ms/call     ms/call  name
 17.18  8092.18   8092.18  28693401     0.28        0.61  Rtc::Types::NominalType#<=
 16.12 15685.66   7593.48 128643256     0.06        0.43  Hash#[]
 10.58 20670.49   4984.83  85057639     0.06        0.12  String#==
  6.86 23902.59   3232.10  28802091     0.11        0.65  Object#rtc_type
  6.46 26945.25   3042.66 142811573     0.02        0.03  Kernel.respond_to?
  5.60 29585.26   2640.01   4065306     0.65      170.11  Array#each
  4.61 31759.13   2173.87  70520966     0.03        7.18  Method#call
  4.10 33691.05   1931.92  85057639     0.02        0.03  String#old_eq
  3.34 35265.39   1574.34  26563716     0.06        2.67  Set#each
  2.88 36620.93   1355.54  26602482     0.05        2.82  Hash#each_key
  1.95 37537.85    916.92  28731140     0.03        0.16  BasicObject#!=
  1.90 38432.79    894.94 142642428     0.01        0.01  Kernel.respond_to_missing?
  1.82 39290.62    857.83  26550722     0.03        2.71  Enumerable.any?
  1.72 40100.46    809.84  28803731     0.03        0.07  Object#rtc_meta
  1.60 40855.69    755.23 116885826     0.01        0.01  Module#===
  1.32 41478.94    623.25  88622765     0.01        0.01  Module#name
  1.27 42076.58    597.64  71090315     0.01        0.01  Rtc::MasterSwitch#is_on?
  1.05 42569.65    493.07  70520966     0.01        0.01  UnboundMethod#bind
  1.00 43042.87    473.22  72725198     0.01        0.01  NilClass#nil?
  1.00 43514.81    471.94   2209064     0.21       43.30  Rtc::Types::TypeVariable#gen_type
  0.78 43880.01    365.20   5203388     0.07        0.65  Hash#[]=
  0.67 44196.30    316.29     38766     8.16     1011.42  Hash#each_value
  0.60 44476.91    280.61   4801046     0.06        0.09  Array#[]
  0.58 44751.84    274.93  33147525     0.01        0.01  Set#size
  0.46 44968.72    216.88  33869002     0.01        0.01  Fixnum#==
  0.36 45136.96    168.24   5028300     0.03        4.23  Class#new
  0.35 45302.90    165.94  26563716     0.01        0.01  Kernel.block_given?
  0.32 45452.53    149.63   1081265     0.14       53.71  Rtc::Types::ParameterizedType#<=
  0.29 45588.74    136.21   2286522     0.06        0.14  Set#initialize
  0.28 45718.81    130.07   2275738     0.06        0.07  Rtc::Types::NominalType#hash
  0.27 45845.00    126.19   3892906     0.03        0.58  Rtc::ProxyObject#rtc_type
  0.26 45969.40    124.40   1080738     0.12       51.70  Rtc::Types::TypeVariable#<=
  0.18 46053.12     83.72   2491594     0.03       38.42  Rtc::Types::TypeVariable#wrapped_type
  0.17 46132.48     79.36   2356958     0.03        0.44  Set#add
  0.15 46205.42     72.94   2243913     0.03        0.04  Set#to_a
  0.15 46276.19     70.77   2209064     0.03       42.71  Enumerator#each
  0.15 46345.06     68.87   1201728     0.06        0.09  Fixnum#*
  0.11 46396.81     51.75    899822     0.06        0.09  Fixnum#+
  0.11 46446.66     49.85    600861     0.08        0.37  Rtc::HashBuilder#include
  0.10 46495.16     48.50   5889834     0.01        0.01  Rtc::GlobalCache#cache
  0.08 46532.46     37.30   1169864     0.03       85.79  Enumerable.all?
  0.08 46569.20     36.74   1247358     0.03        0.04  Array#==
  0.08 46604.99     35.79   5889834     0.01        0.01  Kernel.object_id
  0.07 46637.44     32.45    300428     0.11        1.00  Rtc::Types::ParameterizedType#hash
  0.06 46664.57     27.13    439908     0.06        0.20  Rtc::ProxyObject#hash
  0.06 46691.58     27.01     36097     0.75    15372.69  Rtc::MethodWrapper#invoke
  0.05 46716.25     24.67    228149     0.11        0.74  Rtc::Types::NominalType#le_poly
  0.05 46738.43     22.18    133484     0.17      332.58  Rtc::Types::TypeVariable#le_poly
  0.05 46759.73     21.30     36097     0.59     1239.32  Rtc::MethodCheck.check_args
  0.04 46780.28     20.55     93904     0.22        1.50  Rtc::Types::Type#le_poly
  0.04 46800.64     20.36    121087     0.17        0.77  Object#get_typesig_info
  0.04 46820.80     20.16   3151234     0.01        0.01  String#hash
  0.04 46839.47     18.67      4844     3.85       10.52  Hash#hash
  0.04 46857.62     18.15    300428     0.06        0.07  Rtc::HashBuilder#initialize
  0.04 46875.52     17.90   2636752     0.01        0.01  Hash#keys
  0.04 46893.23     17.71     84990     0.21     1183.39  Rtc::ProxyObject#method_missing
  0.04 46910.65     17.42   2948084     0.01        0.01  Kernel.frozen?
  0.03 46926.79     16.14   2286525     0.01        0.01  Hash#initialize
  0.03 46942.49     15.70    277512     0.06        1.16  Array#push
  0.03 46954.64     12.15    398462     0.03        0.04  Array#include?
  0.02 46965.65     11.01   1746565     0.01        0.01  Kernel.instance_of?
